Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
14,Sat,2023-11-25,18:00 (23:00),Al-Hazem,0–9,Al-Hilal,5994,Prince Abdullah bin Abdul Aziz Stadium,Fabio Maresca,Match Report,
14,Sat,2023-11-25,21:00 (02:00),Al-Fateh,0–1,Al-Fayha,10815,Al Fateh Club Stadium,Freeh Khalifa Al Jaloud,Match Report,
14,Sat,2023-11-25,21:00 (02:00),Al-Wehda,3–1,Al-Khaleej,447,King Abdul Aziz Stadium,Mohammed Abdulrahman Al Baridi,Match Report,
14,Sat,2023-11-25,21:00 (02:00),Damac,4–2,Abha,637,Prince Sultan bin Abdul Aziz Stadium,Ahmed Mohammed Al Rumaikhani,Match Report,
14,Sat,2023-11-25,21:00 (02:00),Al-Ahli,0–0,Al-Shabab,17456,Prince Abdullah Al Faisal Stadium,Mario Escobar,Match Report,
,,,,,,,,,,,
15,Thu,2023-11-30,18:00 (23:00),Al-Riyadh SC,0–0,Al-Hazem,264,Prince Faisal bin Fahd Stadium,Mohammed Salem Al Dagash,Match Report,
15,Thu,2023-11-30,18:00 (23:00),Abha,0–6,Al-Ahli,10941,Prince Sultan bin Abdul Aziz Stadium,Sergey Karasev,Match Report,
15,Thu,2023-11-30,21:00 (02:00),Al-Ittihad,4–2,Al-Khaleej,9727,King Abdul Aziz Stadium,Mamdouh Mufreh Al Shahdan,Match Report,
15,Fri,2023-12-01,18:00 (23:00),Al-Fayha,2–4,Damac,528,Al Majma'ah Sport City,Mohammed Khaled Al Hoish,Match Report,
15,Fri,2023-12-01,21:00 (02:00),Al-Hilal,3–0,Al-Nassr,50561,King Fahd International Stadium,Wilmar Roldán,Match Report,
15,Sat,2023-12-02,18:00 (23:00),Al-Fateh,0–1,Al-Ta'ee,7471,Al Fateh Club Stadium,Faisal Suleiman Al Balawi,Match Report,
15,Sat,2023-12-02,18:00 (23:00),Al Okhdood SC,1–0,Al-Ettifaq,908,Prince Hathloul bin Abdulaziz Sports Cit...,Andris Treimanis,Match Report,
15,Sat,2023-12-02,21:00 (02:00),Al-Raed,2–0,Al-Wehda,1520,Prince Abdullah bin Abdul Aziz Stadium,Sultan Mohammed Al Akairi,Match Report,
15,Sat,2023-12-02,21:00 (02:00),Al-Shabab,1–2,Al-Taawoun,8134,Al Shabab Club Stadium,Tasos Sidiropoulos,Match Report,
,,,,,,,,,,,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Thu,2023-12-07,18:00 (23:00),Damac,3–1,Al-Ittihad,14556,Prince Sultan bin Abdul Aziz Stadium,Said Martínez,Match Report,
16,Thu,2023-12-07,18:00 (23:00),Al-Hazem,2–0,Al-Fateh,640,Ar-Rass Stadium,Ahmed Alromkhani,Match Report,
16,Thu,2023-12-07,21:00 (02:00),Al-Shabab,0–0,Al-Ettifaq,8037,Al Shabab Club Stadium,Fernando Rapallini,Match Report,
16,Fri,2023-12-08,18:00 (23:00),Al-Khaleej,3–1,Abha,2122,Prince Mohammed bin Fahad bin Abdulaziz ...,Abdullah Saleh Al Harbi,Match Report,
16,Fri,2023-12-08,18:00 (23:00),Al-Ta'ee,1–2,Al-Hilal,10653,Prince Abdul Aziz bin Musa'ed Stadium,Alexis Herrera,Match Report,
16,Fri,2023-12-08,18:00 (23:00),Al-Taawoun,4–1,Al-Fayha,3170,Al Taawoun Stadium,Sami Ahmed Al Jurays,Match Report,
16,Fri,2023-12-08,21:00 (02:00),Al-Nassr,4–1,Al-Riyadh SC,17047,Al Awwal Park Stadium,Majed Mohammed Al Shamrani,Match Report,
16,Sat,2023-12-09,18:00 (23:00),Al-Ahli,0–0,Al-Raed,11332,King Fahd Sport City Stadium,Kirill Levnikov,Match Report,
16,Sat,2023-12-09,21:00 (02:00),Al-Wehda,2–0,Al Okhdood SC,575,King Abdul Aziz Stadium,Khalid Saleh Al Turais,Match Report,
,,,,,,,,,,,
17,Thu,2023-12-14,18:00 (23:00),Abha,1–1,Al-Hazem,257,Prince Sultan bin Abdul Aziz Stadium,Mohammed Abdulrahman Al Baridi,Match Report,
17,Thu,2023-12-14,18:00 (23:00),Al Okhdood SC,1–0,Al-Ta'ee,439,Prince Hathloul bin Abdulaziz Sports Cit...,Mohammed Saif Al Harbi,Match Report,
17,Thu,2023-12-14,21:00 (02:00),Al-Fayha,0–4,Al-Ahli,5932,Prince Faisal bin Fahd Stadium,Guillermo Guerrero,Match Report,
17,Fri,2023-12-15,18:00 (23:00),Al-Fateh,1–1,Al-Shabab,6402,Al Fateh Club Stadium,Mamdouh Mufreh Al Shahdan,Match Report,
